name,date,message
smeyer,2025-10-02,"improve check log, amending r87044"
smeyer,2025-10-02,"tweak spelling of ""NAs"" in docs"
kalibera,2025-10-01,Comment re dimensions in lengths().
kalibera,2025-10-01,Document that lengths() preserve dimensions (PR#18858).
smeyer,2025-10-01,more use of \manual
smeyer,2025-10-01,merge duplicated items
smeyer,2025-10-01,more use of \manual
smeyer,2025-10-01,link/refer to 'The R Language Definition'
smeyer,2025-10-01,"Rd2txt: document and use descStyle=""linebreak"""
hornik,2025-10-01,Spelling.
hornik,2025-10-01,Typos.
maechler,2025-10-01,"both by() and rapply() require function, *not* string -- closing PR#7936 & PR#18429"
smeyer,2025-09-30,resolve FIXME from 2003 via new \manual syntax
deepayan,2025-09-30,optionally complete on all installed packages
ligges,2025-09-29,tarball size threshold for CRAN increased to 10 MB (as it already is in the policies)
maechler,2025-09-27,workaround an important pkg problem
maechler,2025-09-27,pretty(): get `bounds` arg; chkDots; fix typo in (and extend) old checks for eps.correct=2
maechler,2025-09-27,pretty(): fix boundary cases for eps.correct=2 (+ enhance docu)
luke,2025-09-26,Drop REAL0 and friends from Rinternals.h.
luke,2025-09-26,"Add INTEGER0, LOGICAL0, and RAW0 to tools:::nonAPI."
luke,2025-09-26,Allow for WRE @forfun annotation in api tools.
hornik,2025-09-26,Updated.
hornik,2025-09-26,Bump default BioC version to 3.22.
maechler,2025-09-25,one more DEBUG print; eliminate trailing whitespace-diffB
kalibera,2025-09-24,Document that chartr specifications allow using - as a literal (PR#17220).
ripley,2025-09-24,typo
kalibera,2025-09-23,Document that for loops implicitly unclass the seq argument (PR#18215).
hornik,2025-09-22,Updated.
kalibera,2025-09-22,Improve caret behavior in Rgui when the edit line starts with text including a carriage return (PR#15925).
maechler,2025-09-22,cosmetic: localized declarations
kalibera,2025-09-22,NEWS entry for 88842.
ripley,2025-09-22,fix warning on macOS
kalibera,2025-09-22,"Add comment re LDFLAGS in libR.pc, reference PR#17744."
ripley,2025-09-21,reflect announcement in 4.5.0 that included BLAS/LAPACK is frozen
kalibera,2025-09-19,Initialize structures used with Windows API dialogs in RGui.
kalibera,2025-09-19,"In Rgui, Save script as dialog, start in the directory where the file is currently located, restoring earlier behavior (PR#15444)."
kalibera,2025-09-18,NEWS entry for 88856.
kalibera,2025-09-18,Fix right-alignment of default column label when printing a matrix (PR#18943).
smeyer,2025-09-18,remove duplicated test (amending c80290)
smeyer,2025-09-18,--force-biarch is gone
smeyer,2025-09-17,remove duplication (reported by Heather Turner)
smeyer,2025-09-17,link rw-FAQ sections
smeyer,2025-09-17,"build dictionaries, following r88514"
smeyer,2025-09-17,more use of \manual
smeyer,2025-09-17,tweak [?]bug.report and remove outdated/duplicated text from R-FAQ (now linked)
kalibera,2025-09-17,Use read-only (altrep) accessors in copyVector (PR#18762).
kalibera,2025-09-17,Update NextMethod() documentation to explicitly say how extra positional arguments are treated (PR#15654).
hornik,2025-09-17,More ISBNs.  By Ella Kaye.
hornik,2025-09-17,Improve bibliography db.  By Ella Kaye.
